Region,Month,Projected_Revenue,Actual_Revenue,Growth_Target,Status,Cumulative_Projected_Revenue,Cumulative_Actual_Revenue
East,1/1/2024,750000,0,0.04,In Progress,750000,0
East,1/2/2024,770000,700000,0.04,In Progress,1520000,700000
East,1/3/2024,770000,750000,0.04,Achieved,2290000,1450000
East,1/4/2024,770000,0,,,3060000,1450000
East,1/5/2024,770000,0,,,3830000,1450000
East,1/6/2024,770000,0,,,4600000,1450000
East,1/7/2024,770000,0,,,5370000,1450000
East,1/8/2024,770000,0,,,6140000,1450000
East,1/9/2024,770000,0,,,6910000,1450000
East,1/10/2024,770000,0,,,7680000,1450000
East,1/11/2024,770000,0,,,8450000,1450000
East,1/12/2024,770000,0,,,9220000,1450000
North,1/1/2024,500000,490000,0.05,Achieved,500000,490000
North,1/2/2024,550000,530000,,Achieved,1050000,1020000
North,1/3/2024,600000,580000,0.05,In Progress,1650000,1600000
North,1/4/2024,600000,0,,,2250000,1600000
North,1/5/2024,600000,0,,,2850000,1600000
North,1/6/2024,600000,0,,,3450000,1600000
North,1/7/2024,600000,0,,,4050000,1600000
North,1/8/2024,600000,0,,,4650000,1600000
North,1/9/2024,600000,0,,,5250000,1600000
North,1/10/2024,600000,0,,,5850000,1600000
North,1/11/2024,600000,0,,,6450000,1600000
North,1/12/2024,600000,0,,,7050000,1600000
South,1/1/2024,625000,500000,0.03,Below Target,625000,500000
South,1/2/2024,640000,0,0.03,Below Target,1265000,500000
South,1/3/2024,660000,630000,0.03,Below Target,1925000,1130000
South,1/4/2024,660000,0,,,2585000,1130000
South,1/5/2024,660000,0,,,3245000,1130000
South,1/6/2024,660000,0,,,3905000,1130000
South,1/7/2024,660000,0,,,4565000,1130000
South,1/8/2024,660000,0,,,5225000,1130000
South,1/9/2024,660000,0,,,5885000,1130000
South,1/10/2024,660000,0,,,6545000,1130000
South,1/11/2024,660000,0,,,7205000,1130000
South,1/12/2024,660000,0,,,7865000,1130000
West,1/1/2024,680000,720000,0.06,Achieved,680000,720000
West,1/2/2024,680000,700000,"""n/a""",,680000,1420000
West,1/3/2024,700000,0,0.06,In Progress,1380000,1420000
West,1/4/2024,700000,0,,,2080000,1420000
West,1/5/2024,700000,0,,,2780000,1420000
West,1/6/2024,700000,0,,,3480000,1420000
West,1/7/2024,700000,0,,,4180000,1420000
West,1/8/2024,700000,0,,,4880000,1420000
West,1/9/2024,700000,0,,,5580000,1420000
West,1/10/2024,700000,0,,,6280000,1420000
West,1/11/2024,700000,0,,,6980000,1420000
West,1/12/2024,700000,0,,,7680000,1420000
